source_platform,source_url,project_name,chain_or_vm,language,finding_id_or_title,severity_raw,severity_normalized,bug_family,attack_chain_stage,root_cause_type,exploit_prerequisites,fix_pattern,report_date,public_disclosure_date
code4rena,https://code4rena.com/reports/2022-06-nibbl,Nibbl,EVM,Solidity,,H=0;M=72;L=0;NC=0;G=0,medium,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-notional-coop,Notional Coop,EVM,Solidity,,H=6;M=60;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-putty,Putty,EVM,Solidity,,H=24;M=96;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-06-yieldy,Yieldy,EVM,Solidity,,H=24;M=162;L=0;NC=0;G=0,high,,,,,,2022-06-01,2022-06-01
code4rena,https://code4rena.com/reports/2022-07-axelar,Axelar,EVM,Solidity,,H=0;M=36;L=0;NC=0;G=0,medium,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-canto,Canto,EVM,Solidity,,H=18;M=6;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-ens,Ens,EVM,Solidity,,H=18;M=78;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-fractional,Fractional,EVM,Solidity,,H=120;M=72;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-golom,Golom,EVM,Solidity,,H=66;M=108;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-juicebox,Juicebox,EVM,Solidity,,H=12;M=96;L=6;NC=6;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-swivel,Swivel,EVM,Solidity,,H=6;M=72;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-07-yield,Yield,EVM,Solidity,,H=12;M=0;L=0;NC=0;G=0,high,,,,,,2022-07-01,2022-07-01
code4rena,https://code4rena.com/reports/2022-08-fiatdao,Fiatdao,EVM,Solidity,,H=12;M=48;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-foundation,Foundation,EVM,Solidity,,H=0;M=48;L=0;NC=0;G=0,medium,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-frax,Frax,EVM,Solidity,,H=12;M=78;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-mimo,Mimo,EVM,Solidity,,H=24;M=48;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-nounsdao,Nounsdao,EVM,Solidity,,H=6;M=18;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-olympus,Olympus,EVM,Solidity,,H=18;M=192;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-prepo,Prepo,EVM,Solidity,,H=0;M=24;L=0;NC=0;G=0,medium,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-08-rigor,Rigor,EVM,Solidity,,H=36;M=120;L=0;NC=0;G=0,high,,,,,,2022-08-01,2022-08-01
code4rena,https://code4rena.com/reports/2022-09-artgobblers,Artgobblers,EVM,Solidity,,H=6;M=18;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-canto,Canto,EVM,Solidity,,H=6;M=36;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-frax,Frax,EVM,Solidity,,H=12;M=60;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-nouns-builder,Nouns Builder,EVM,Solidity,,H=30;M=168;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-party,Party,EVM,Solidity,,H=42;M=72;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-quickswap,Quickswap,EVM,Solidity,,H=6;M=72;L=0;NC=0;G=0,high,,,,,,2022-09-01,2022-09-01
code4rena,https://code4rena.com/reports/2022-09-tribe,Tribe,EVM,Solidity,,H=0;M=12;L=0;NC=0;G=0,medium,,,,,,2022-09-01,2022-09-01
